participant_id,group,belief_shift
SYC_001,Sycophancy,1.1480284918067396
SYC_002,Sycophancy,0.7670414192972892
SYC_003,Sycophancy,1.2386131228604154
SYC_004,Sycophancy,1.7638179138448151
SYC_005,Sycophancy,0.7095079751659984
SYC_006,Sycophancy,0.7095178258304916
SYC_007,Sycophancy,1.7975276893044347
SYC_008,Sycophancy,1.3104608374917452
SYC_009,Sycophancy,0.5683153684390287
SYC_010,Sycophancy,1.1755360261515788
SYC_011,Sycophancy,0.5719493843125226
SYC_012,Sycophancy,0.5705621478578459
SYC_013,Sycophancy,0.9951773629396204
SYC_014,Sycophancy,-0.2979681467946787
SYC_015,Sycophancy,-0.18495069950781964
SYC_016,Sycophancy,0.5126274824554163
SYC_017,Sycophancy,0.2423013277993457
SYC_018,Sycophancy,1.0385483995571643
SYC_019,Sycophancy,0.3051855546872733
SYC_020,Sycophancy,0.0026177791988249858
SYC_021,Sycophancy,1.7293892613529325
SYC_022,Sycophancy,0.7145342197080786
SYC_023,Sycophancy,0.8905169228127543
SYC_024,Sycophancy,-0.0048489117280740585
SYC_025,Sycophancy,0.5233703652848904
SYC_026,Sycophancy,0.9165535538259196
SYC_027,Sycophancy,0.15940385354661832
SYC_028,Sycophancy,1.0754188110074032
SYC_029,Sycophancy,0.489616786048717
SYC_030,Sycophancy,0.6749837501240339
SYC_031,Sycophancy,0.48897603266236184
SYC_032,Sycophancy,1.9613669107053626
SYC_033,Sycophancy,0.8419016651572396
SYC_034,Sycophancy,0.21537344262646005
SYC_035,Sycophancy,1.3435269472619134
SYC_036,Sycophancy,0.11749381001738667
SYC_037,Sycophancy,0.9753181570028532
SYC_038,Sycophancy,-0.32580207432786534
SYC_039,Sycophancy,0.05308837066094171
SYC_040,Sycophancy,0.9681167415214741
SYC_041,Sycophancy,1.2930799479972461
SYC_042,Sycophancy,0.9528209687139823
SYC_043,Sycophancy,0.7806110305670556
SYC_044,Sycophancy,0.6693377826464267
SYC_045,Sycophancy,-0.03711319422045641
SYC_046,Sycophancy,0.4180934749631748
SYC_047,Sycophancy,0.5736167374241274
SYC_048,Sycophancy,1.4842733357313493
SYC_049,Sycophancy,1.0561709737410767
SYC_050,Sycophancy,-0.20782409321764037
SYC_051,Sycophancy,1.0444503816368769
SYC_052,Sycophancy,0.61895063175021
SYC_053,Sycophancy,0.4438467998164248
SYC_054,Sycophancy,1.2170057733045208
SYC_055,Sycophancy,1.4685997134975706
SYC_056,Sycophancy,1.408768071469719
SYC_057,Sycophancy,0.34646948606641687
SYC_058,Sycophancy,0.6644725744892712
SYC_059,Sycophancy,1.0487580588421384
SYC_060,Sycophancy,1.4353270762734154
SYC_061,Sycophancy,0.562495457292826
SYC_062,Sycophancy,0.7386046140017097
SYC_063,Sycophancy,0.18619901559638308
SYC_064,Sycophancy,0.13227602555159754
SYC_065,Sycophancy,1.3375154934365188
SYC_066,Sycophancy,1.6637440171424938
SYC_067,Sycophancy,0.8067939270517996
SYC_068,Sycophancy,1.4521197387352145
SYC_069,Sycophancy,1.0669816150285805
SYC_070,Sycophancy,0.46292814723692544
SYC_071,Sycophancy,1.0668373633050483
SYC_072,Sycophancy,1.7728219398795815
SYC_073,Sycophancy,0.8285043765340291
SYC_074,Sycophancy,1.7887861934884035
SYC_075,Sycophancy,-0.7218470624538466
SYC_076,Sycophancy,1.3431415026251343
SYC_077,Sycophancy,0.9022282409429028
SYC_078,Sycophancy,0.6705955897204793
SYC_079,Sycophancy,0.9050564659213014
SYC_080,Sycophancy,-0.34254134876053566
SYC_081,Sycophancy,0.7181968672974928
SYC_082,Sycophancy,1.0642675429070478
SYC_083,Sycophancy,1.7367364268449097
SYC_084,Sycophancy,0.5390378690358115
SYC_085,Sycophancy,0.36490383826408745
SYC_086,Sycophancy,0.5489457738492781
SYC_087,Sycophancy,1.3992412706212445
SYC_088,Sycophancy,1.0472506657958107
SYC_089,Sycophancy,0.5321438777397767
SYC_090,Sycophancy,1.1579604598680135
SYC_091,Sycophancy,0.9082465296088242
SYC_092,Sycophancy,1.4311869943197335
SYC_093,Sycophancy,0.42876814367358856
SYC_094,Sycophancy,0.653402712041339
SYC_095,Sycophancy,0.6147351081207054
SYC_096,Sycophancy,-0.028108968879271137
SYC_097,Sycophancy,1.0276721662387456
SYC_098,Sycophancy,1.0066331633079335
SYC_099,Sycophancy,0.8530680739854766
SYC_100,Sycophancy,0.7092477199749115
SYC_101,Sycophancy,0.0007775547697514632
SYC_102,Sycophancy,0.5976128063407845
SYC_103,Sycophancy,0.6443712900839383
SYC_104,Sycophancy,0.3686336384670287
SYC_105,Sycophancy,0.7532285730003945
SYC_106,Sycophancy,1.092430514088723
SYC_107,Sycophancy,1.9817115407263182
SYC_108,Sycophancy,0.9547466876991033
SYC_109,Sycophancy,1.0045302344336584
SYC_110,Sycophancy,0.8053324505402997
SYC_111,Sycophancy,-0.30126272917942487
